D:\pycharm_workstation\rl-pusher\venv\Scripts\python.exe D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py
D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  bc_state = torch.load(
[INFO] BC weights loaded into PPO actor: net.0/net.2/mu (mu network only).
D:\pycharm_workstation\rl-pusher\reinforcement-learning\ppo_model.py:262: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\torch\csrc\utils\tensor_new.cpp:281.)
  state = torch.tensor([observation], dtype=torch.float32).to(self.actor.device)
... saving models
episode 200 score -7.0 avg score -13.0 time_steps 10050 learning_steps 4
episode 201 score -23.3 avg score -13.1 time_steps 10100 learning_steps 4
episode 202 score -12.4 avg score -13.0 time_steps 10150 learning_steps 4
episode 203 score -13.7 avg score -13.1 time_steps 10200 learning_steps 4
episode 204 score -9.4 avg score -13.1 time_steps 10250 learning_steps 5
episode 205 score -23.5 avg score -13.2 time_steps 10300 learning_steps 5
episode 206 score -14.0 avg score -13.2 time_steps 10350 learning_steps 5
episode 207 score -17.7 avg score -13.3 time_steps 10400 learning_steps 5
episode 208 score -12.5 avg score -13.3 time_steps 10450 learning_steps 5
episode 209 score -15.7 avg score -13.4 time_steps 10500 learning_steps 5
episode 210 score -14.7 avg score -13.4 time_steps 10550 learning_steps 5
episode 211 score -2.2 avg score -13.3 time_steps 10600 learning_steps 5
episode 212 score -12.7 avg score -13.3 time_steps 10650 learning_steps 5
episode 213 score -13.6 avg score -13.2 time_steps 10700 learning_steps 5
episode 214 score -24.6 avg score -13.3 time_steps 10750 learning_steps 5
episode 215 score -19.4 avg score -13.3 time_steps 10800 learning_steps 5
episode 216 score -5.6 avg score -13.1 time_steps 10850 learning_steps 5
episode 217 score -3.1 avg score -13.1 time_steps 10900 learning_steps 5
episode 218 score -1.7 avg score -13.0 time_steps 10950 learning_steps 5
episode 219 score -2.6 avg score -12.9 time_steps 11000 learning_steps 5
episode 220 score -9.4 avg score -12.9 time_steps 11050 learning_steps 5
episode 221 score -12.2 avg score -12.8 time_steps 11100 learning_steps 5
episode 222 score -19.9 avg score -13.0 time_steps 11150 learning_steps 5
episode 223 score -5.8 avg score -12.9 time_steps 11200 learning_steps 5
episode 224 score -8.6 avg score -13.0 time_steps 11250 learning_steps 5
episode 225 score -9.2 avg score -12.9 time_steps 11300 learning_steps 5
episode 226 score -7.4 avg score -12.9 time_steps 11350 learning_steps 5
episode 227 score -6.3 avg score -12.8 time_steps 11400 learning_steps 5
episode 228 score -5.8 avg score -12.4 time_steps 11450 learning_steps 5
episode 229 score -13.3 avg score -12.5 time_steps 11500 learning_steps 5
episode 230 score -14.8 avg score -12.5 time_steps 11550 learning_steps 5
episode 231 score -12.3 avg score -12.5 time_steps 11600 learning_steps 5
episode 232 score -2.7 avg score -12.3 time_steps 11650 learning_steps 5
episode 233 score -13.2 avg score -12.3 time_steps 11700 learning_steps 5
episode 234 score -3.6 avg score -12.3 time_steps 11750 learning_steps 5
episode 235 score -4.8 avg score -12.3 time_steps 11800 learning_steps 5
episode 236 score -8.8 avg score -12.3 time_steps 11850 learning_steps 5
episode 237 score -13.1 avg score -12.3 time_steps 11900 learning_steps 5
episode 238 score -16.9 avg score -12.4 time_steps 11950 learning_steps 5
episode 239 score -15.6 avg score -12.4 time_steps 12000 learning_steps 5
episode 240 score -2.8 avg score -12.3 time_steps 12050 learning_steps 5
episode 241 score -22.0 avg score -12.2 time_steps 12100 learning_steps 5
episode 242 score -6.6 avg score -12.1 time_steps 12150 learning_steps 5
episode 243 score -20.2 avg score -12.2 time_steps 12200 learning_steps 5
episode 244 score -19.8 avg score -12.3 time_steps 12250 learning_steps 5
episode 245 score -6.5 avg score -12.0 time_steps 12300 learning_steps 6
episode 246 score -8.9 avg score -12.0 time_steps 12350 learning_steps 6
episode 247 score -11.5 avg score -12.0 time_steps 12400 learning_steps 6
episode 248 score -20.0 avg score -12.1 time_steps 12450 learning_steps 6
episode 249 score -15.6 avg score -12.1 time_steps 12500 learning_steps 6
episode 250 score -14.6 avg score -12.1 time_steps 12550 learning_steps 6
episode 251 score -14.8 avg score -12.2 time_steps 12600 learning_steps 6
episode 252 score -8.0 avg score -12.2 time_steps 12650 learning_steps 6
episode 253 score -6.5 avg score -12.2 time_steps 12700 learning_steps 6
episode 254 score -8.6 avg score -12.1 time_steps 12750 learning_steps 6
episode 255 score -9.1 avg score -12.0 time_steps 12800 learning_steps 6
episode 256 score -17.9 avg score -12.1 time_steps 12850 learning_steps 6
episode 257 score -21.9 avg score -11.9 time_steps 12900 learning_steps 6
episode 258 score -10.5 avg score -12.0 time_steps 12950 learning_steps 6
episode 259 score -9.1 avg score -11.6 time_steps 13000 learning_steps 6
episode 260 score -18.9 avg score -11.8 time_steps 13050 learning_steps 6
episode 261 score -16.6 avg score -11.9 time_steps 13100 learning_steps 6
episode 262 score -6.9 avg score -11.8 time_steps 13150 learning_steps 6
episode 263 score -19.7 avg score -11.7 time_steps 13200 learning_steps 6
episode 264 score -8.3 avg score -11.7 time_steps 13250 learning_steps 6
episode 265 score -10.7 avg score -11.7 time_steps 13300 learning_steps 6
episode 266 score -12.2 avg score -11.7 time_steps 13350 learning_steps 6
episode 267 score -5.7 avg score -11.7 time_steps 13400 learning_steps 6
episode 268 score -14.5 avg score -11.7 time_steps 13450 learning_steps 6
episode 269 score -14.5 avg score -11.7 time_steps 13500 learning_steps 6
episode 270 score -9.6 avg score -11.6 time_steps 13550 learning_steps 6
episode 271 score -16.2 avg score -11.7 time_steps 13600 learning_steps 6
episode 272 score -8.0 avg score -11.8 time_steps 13650 learning_steps 6
episode 273 score -8.9 avg score -11.7 time_steps 13700 learning_steps 6
episode 274 score -7.8 avg score -11.7 time_steps 13750 learning_steps 6
episode 275 score -14.6 avg score -11.7 time_steps 13800 learning_steps 6
episode 276 score -17.0 avg score -11.8 time_steps 13850 learning_steps 6
episode 277 score -5.0 avg score -11.7 time_steps 13900 learning_steps 6
episode 278 score -16.0 avg score -11.7 time_steps 13950 learning_steps 6
episode 279 score -13.0 avg score -11.7 time_steps 14000 learning_steps 6
episode 280 score -18.2 avg score -11.8 time_steps 14050 learning_steps 6
episode 281 score -6.6 avg score -11.7 time_steps 14100 learning_steps 6
episode 282 score -22.7 avg score -11.8 time_steps 14150 learning_steps 6
episode 283 score -5.5 avg score -11.7 time_steps 14200 learning_steps 6
episode 284 score -15.0 avg score -11.8 time_steps 14250 learning_steps 6
episode 285 score -9.1 avg score -11.7 time_steps 14300 learning_steps 6
episode 286 score -4.5 avg score -11.6 time_steps 14350 learning_steps 7
episode 287 score -14.8 avg score -11.7 time_steps 14400 learning_steps 7
episode 288 score -3.1 avg score -11.7 time_steps 14450 learning_steps 7
episode 289 score -18.4 avg score -11.7 time_steps 14500 learning_steps 7
episode 290 score -20.5 avg score -11.8 time_steps 14550 learning_steps 7
episode 291 score -21.3 avg score -11.9 time_steps 14600 learning_steps 7
episode 292 score -6.2 avg score -12.0 time_steps 14650 learning_steps 7
episode 293 score -5.9 avg score -12.0 time_steps 14700 learning_steps 7
episode 294 score -8.3 avg score -11.9 time_steps 14750 learning_steps 7
episode 295 score -9.6 avg score -11.8 time_steps 14800 learning_steps 7
episode 296 score -9.1 avg score -11.8 time_steps 14850 learning_steps 7
episode 297 score -21.6 avg score -11.9 time_steps 14900 learning_steps 7
episode 298 score -6.1 avg score -11.9 time_steps 14950 learning_steps 7
episode 299 score -3.7 avg score -11.8 time_steps 15000 learning_steps 7
episode 300 score -23.8 avg score -12.0 time_steps 15050 learning_steps 7
episode 301 score -6.1 avg score -11.8 time_steps 15100 learning_steps 7
episode 302 score -12.0 avg score -11.8 time_steps 15150 learning_steps 7
episode 303 score -16.0 avg score -11.8 time_steps 15200 learning_steps 7
episode 304 score -10.8 avg score -11.9 time_steps 15250 learning_steps 7
episode 305 score -15.2 avg score -11.8 time_steps 15300 learning_steps 7
episode 306 score -19.5 avg score -11.8 time_steps 15350 learning_steps 7
episode 307 score -8.5 avg score -11.7 time_steps 15400 learning_steps 7
episode 308 score -5.3 avg score -11.7 time_steps 15450 learning_steps 7
episode 309 score -23.8 avg score -11.7 time_steps 15500 learning_steps 7
episode 310 score -22.3 avg score -11.8 time_steps 15550 learning_steps 7
episode 311 score -11.6 avg score -11.9 time_steps 15600 learning_steps 7
episode 312 score -24.1 avg score -12.0 time_steps 15650 learning_steps 7
episode 313 score -10.6 avg score -12.0 time_steps 15700 learning_steps 7
episode 314 score -15.8 avg score -11.9 time_steps 15750 learning_steps 7
episode 315 score -11.2 avg score -11.8 time_steps 15800 learning_steps 7
episode 316 score -6.3 avg score -11.8 time_steps 15850 learning_steps 7
episode 317 score -15.4 avg score -12.0 time_steps 15900 learning_steps 7
episode 318 score -21.1 avg score -12.2 time_steps 15950 learning_steps 7
episode 319 score -4.7 avg score -12.2 time_steps 16000 learning_steps 7
episode 320 score -10.2 avg score -12.2 time_steps 16050 learning_steps 7
episode 321 score -5.9 avg score -12.1 time_steps 16100 learning_steps 7
episode 322 score -20.5 avg score -12.1 time_steps 16150 learning_steps 7
